bin_id,segment_id,start_km,end_km,t_start,t_end,density,rate,los_class,bin_size_km,schema_version,analysis_hash
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:52:00Z,2025-10-15T07:54:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:52:00Z,2025-10-15T07:54:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:52:00Z,2025-10-15T07:54:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:52:00Z,2025-10-15T07:54:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:52:00Z,2025-10-15T07:54:00Z,0.0010,0.0066,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:54:00Z,2025-10-15T07:56:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:54:00Z,2025-10-15T07:56:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:54:00Z,2025-10-15T07:56:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:54:00Z,2025-10-15T07:56:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:54:00Z,2025-10-15T07:56:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:56:00Z,2025-10-15T07:58:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:56:00Z,2025-10-15T07:58:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:56:00Z,2025-10-15T07:58:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:56:00Z,2025-10-15T07:58:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:56:00Z,2025-10-15T07:58:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T07:58:00Z,2025-10-15T08:00:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T07:58:00Z,2025-10-15T08:00:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T07:58:00Z,2025-10-15T08:00:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T07:58:00Z,2025-10-15T08:00:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T07:58:00Z,2025-10-15T08:00:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T08:00:00Z,2025-10-15T08:02:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T08:00:00Z,2025-10-15T08:02:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T08:00:00Z,2025-10-15T08:02:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T08:00:00Z,2025-10-15T08:02:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T08:00:00Z,2025-10-15T08:02:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T08:02:00Z,2025-10-15T08:04:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T08:02:00Z,2025-10-15T08:04:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T08:02:00Z,2025-10-15T08:04:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T08:02:00Z,2025-10-15T08:04:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T08:02:00Z,2025-10-15T08:04:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T08:04:00Z,2025-10-15T08:06:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T08:04:00Z,2025-10-15T08:06:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.400-0.600,A1,0.4000,0.6000,2025-10-15T08:04:00Z,2025-10-15T08:06:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.600-0.800,A1,0.6000,0.8000,2025-10-15T08:04:00Z,2025-10-15T08:06:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.800-1.000,A1,0.8000,1.0000,2025-10-15T08:04:00Z,2025-10-15T08:06:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.000-0.200,A1,0.0000,0.2000,2025-10-15T08:06:00Z,2025-10-15T08:08:00Z,0.0000,0.0000,A,0.2000,1.0.0,
A1:0.200-0.400,A1,0.2000,0.4000,2025-10-15T08:06:00Z,2025-10-15T08:08:00Z,0.0000,0.0000,A,0.2000,1.0.0,
