loc_id,loc_label,loc_type,loc_direction,lat,lon,proxy_loc_id,seg_id,day,zone,full,half,10k,elite,open,buffer,interval,fpf_count,awp_count,yssr_count,vol_count,caf_count,sja_count,fdsa_count,ofc_count,notes
84,Northside Trail at Pearl (near McGregor),course,Traffic control both directions,45.977588,-66.719198,,"""D1,D2""",sun,3,y,n,n,n,n,10,5,0,0,0,2,0,0,0,0,Stop traffic from crossing the trail while runners (coming both directions) are crossing
85,Northside Trail at Blake Crt. (Full Turn),course,Traffic control both directions,45.977801,-66.723189,,"""D1,D2""",sun,3,y,n,n,n,n,10,5,0,0,0,2,0,0,0,2,Stop traffic from crossing the trail while runners (coming both directions) are crossing
86,Water Stop: 10K Turn,water,Both directions,45.980158,-66.656539,,"""D1,D2""",sun,2,y,n,n,n,n,10,5,0,0,0,0,0,0,8,0,Marathon runners only. 
87,Water Stop: Clements & McGregor ,water,Both directions,45.977665,-66.72117,,"""D1,D2""",sun,3,y,n,n,n,n,10,5,0,0,0,0,0,0,8,0,Marathon runners only. 
88,Water Stop: Former Trail Hut,water,Both directions,45.958787,-66.620742,,"""L1,L2""",sun,7,y,y,y,n,n,10,5,0,0,0,0,0,0,8,0,All runners. First will be 10K. Last will be Marathoner.
89,Water Stop: Aberdeen & St John,water,Both directions,45.95455,-66.641213,,G1,sun,7,y,n,n,n,n,10,5,0,0,0,0,0,0,8,0,Marathon runners only as they are making the loop at Queen Sq.
90,Water Stop: Gibson Trail,water,Both directions,45.958828,-66.596392,,I1,sun,4,y,y,n,n,n,10,5,0,0,0,0,0,0,8,0,Half & Full Marathon runners. First will be Half. Last Full Marathoner.
91,Water Stop: Mill St,water,Both directions,45.979279,-66.591863,,"""I1,J1,J4,J5""",sun,5,y,y,n,n,n,10,5,0,0,0,0,0,0,8,0,Half & Full Marathon runners. First will be Half coming from Gibson. Last Full Marathoner coming back from Tree Farm.
92,Water Stop: Peniac Bridge,water,Both directions,45.995937,-66.574436,,"""J1,J4,J5""",sun,5,y,y,n,n,n,10,5,0,0,0,0,0,0,8,0,Half & Full Marathon runners. First will be Half coming from Mill St. to the Turn. Last Full Marathoner coming back from Tree Farm.
93,Water Stop: Chase Xmas Tree Farm,water,Both directions,46.002755,-66.575984,,"""J2,J3""",sun,5,y,n,n,n,n,10,5,0,0,0,0,0,0,8,0,Marathon runners only. Both directions as they are making a turn further out the trail.
